category_clean,listings,products,brands,median_price,sale_rate,listing_share
Audio,299,58,36,129.99,17.391304347826086,4.1326883206634415
Automotive Electronics,796,92,37,102.985,21.35678391959799,11.002073255010366
Cameras & Photography,881,87,37,213.37,24.51759364358683,12.176917760884589
Computers & Tablets,2199,236,84,179.99,20.37289677125966,30.393918451969594
Mobile & Phones,1145,157,64,99.99,19.12663755458515,15.825846579129232
Other Electronics,2,1,1,26.505,0.0,0.027643400138217002
TV & Home Theater,1913,204,57,454.95,32.723470987977,26.44091223220456
